Barrio,Tipo de Inmueble,Estado,Antigüedad,Área Construida (m2),Área Privada (m2),Estrato,Baños,Habitaciones,Parqueaderos,Piso N°,Barrio_clean,Barrio_group,Piso_cat
Boston,Apartamento,Excelente estado,1 a 8 años,58.0,58.0,4.0,2,3,1,10,BOSTON,BOSTON,missing
Buenos aires,Casa,Usado,más de 30 años,13000.0,13000.0,3.0,1,4,0,1,BUENOS AIRES,BUENOS AIRES,missing
Manrique,Apartaestudio,Nuevo,16 a 30 años,30.0,30.0,3.0,1,1,0,4,MANRIQUE,MANRIQUE,3+
Maria Auxiliadora,Apartamento,Usado,1 a 8 años,60.0,60.0,3.0,2,2,0,6,MARIA AUXILIADORA,OTROS,missing
Cristo rey,Apartaestudio,Usado,1 a 8 años,50.0,50.0,3.0,1,1,0,4,CRISTO REY,CRISTO REY,missing
Laureles,Apartamento,Usado,9 a 15 años,119.0,119.0,5.0,3,3,1,3,LAURELES,LAURELES,missing
Los pinos,Apartaestudio,Usado,1 a 8 años,45.0,45.0,4.0,1,1,0,2,LOS PINOS,LOS PINOS,missing
Centro,Apartamento,Usado,16 a 30 años,33.0,33.0,4.0,1,1,0,4,CENTRO,CENTRO,missing
Calasanz,Apartamento,Usado,1 a 8 años,70.0,70.0,4.0,2,3,0,3,CALASANZ,CALASANZ,3+
El Poblado,Apartamento,Usado,16 a 30 años,260.0,260.0,6.0,3,2,1,18,EL POBLADO,EL POBLADO,3+
Santa maria de los angeles,Apartamento,Usado,16 a 30 años,150.0,150.0,6.0,4,3,3,5,SANTA MARIA DE LOS ANGELES,SANTA MARIA DE LOS ANGELES,3+
El Poblado,Apartamento,Usado,1 a 8 años,120.0,120.0,6.0,3,4,1,12,EL POBLADO,EL POBLADO,3+
El Poblado,Apartamento,Excelente estado,1 a 8 años,7300.0,7300.0,6.0,2,3,1,18,EL POBLADO,EL POBLADO,3+
El Poblado,Apartamento,Usado,1 a 8 años,6000.0,6000.0,4.0,2,2,1,9,EL POBLADO,EL POBLADO,missing
La castellana,Apartamento,Usado,16 a 30 años,85.0,85.0,5.0,2,3,1,7,LA CASTELLANA,LA CASTELLANA,missing
Loma De San Julian,Apartamento,Usado,16 a 30 años,78.0,78.0,5.0,2,3,1,5,LOMA DE SAN JULIAN,LOMA DE SAN JULIAN,missing
La candelaria ,Casa,Usado,16 a 30 años,280.0,280.0,5.0,3,2,2,2,LA CANDELARIA,LA CANDELARIA,2
Loma del Indio,Apartamento,Usado,menor a 1 año,62.0,62.0,4.0,2,2,1,5,LOMA DEL INDIO,LOMA DEL INDIO,missing
La floresta,Casa,Usado,9 a 15 años,200.0,200.0,4.0,1,2,0,1,LA FLORESTA,LA FLORESTA,missing
Los Balsos,Apartaestudio,Usado,1 a 8 años,60.0,60.0,6.0,2,1,1,18,LOS BALSOS,LOS BALSOS,3+
Belen La Palma,Apartamento,Usado,1 a 8 años,65.0,65.0,4.0,3,2,0,5,BELEN LA PALMA,BELEN LA PALMA,3+
La candelaria,Apartamento,Usado,16 a 30 años,120.0,120.0,4.0,2,3,0,3,LA CANDELARIA,LA CANDELARIA,3+
El Poblado,Apartamento,Usado,1 a 8 años,68.0,68.0,4.0,2,2,1,12,EL POBLADO,EL POBLADO,missing
Belén Rosales,Apartamento,Usado,1 a 8 años,70.0,70.0,4.0,1,2,0,2,BELEN ROSALES,BELEN ROSALES,2
Simon bolivar,Apartamento,Usado,más de 30 años,70.0,70.0,5.0,2,2,0,3,SIMON BOLIVAR,SIMON BOLIVAR,3+
Laureles,Apartamento,Usado,16 a 30 años,62.0,62.0,5.0,2,2,1,3,LAURELES,LAURELES,3+
Laureles,Casa,Usado,16 a 30 años,324.0,324.0,5.0,3,5,0,1,LAURELES,LAURELES,missing
El Poblado,Apartamento,Usado,9 a 15 años,76.0,76.0,6.0,2,2,2,15,EL POBLADO,EL POBLADO,missing
El Poblado,Apartamento,Usado,16 a 30 años,102.4,102.4,6.0,2,3,1,5,EL POBLADO,EL POBLADO,missing
Laureles,Apartamento,Usado,1 a 8 años,110.0,110.0,5.0,3,3,1,10,LAURELES,LAURELES,3+
La america,Casa,Usado,más de 30 años,118.0,118.0,4.0,3,4,1,4,LA AMERICA,LA AMERICA,3+
El Poblado,Apartamento,Usado,1 a 8 años,6400.0,6400.0,6.0,2,3,1,5,EL POBLADO,EL POBLADO,missing
Calasanz parte alta,Apartamento,Usado,1 a 8 años,70.0,70.0,4.0,2,3,1,15,CALASANZ PARTE ALTA,CALASANZ PARTE ALTA,3+
El salvador,Apartaestudio,Usado,menor a 1 año,30.0,30.0,3.0,1,1,0,3,EL SALVADOR,EL SALVADOR,missing
Loma De San Julian,Apartamento,Usado,16 a 30 años,84.0,84.0,5.0,2,3,2,6,LOMA DE SAN JULIAN,LOMA DE SAN JULIAN,missing
Florida nueva,Casa,Usado,16 a 30 años,267.0,267.0,5.0,7,7,1,1,FLORIDA NUEVA,FLORIDA NUEVA,missing
Laureles,Apartaestudio,Usado,más de 30 años,31.0,31.0,3.0,1,1,0,1,LAURELES,LAURELES,missing
El Poblado,Apartamento,Usado,9 a 15 años,68.0,68.0,4.0,2,2,1,12,EL POBLADO,EL POBLADO,missing
